"sender_id","sender_name","receiver_destid","receiver_name","use_type","environments","notes"
"VAMS","VAMS","nj","New Jersey","PROVIDER","production|onboarding",""
"VAMS","VAMS","ri","Rhode Island","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (Oracle Health)","ky","Kentucky","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (Oracle Health)","in","Indiana","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (Oracle Health)","or","Oregon","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (Oracle Health)","wa","Washington","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (Oracle Health)","mt","Montana","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (Oracle Health)","id","Idaho","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (Oracle Health)","wi","Wisconsin","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (Oracle Health)","il","Illinois","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (Oracle Health)","oh","Ohio","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (Oracle Health)","mi","Michigan","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","az","Arizona","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","fl","Florida","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","ny_vxu","New York State","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","ca","California","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","nm","New Mexico","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","ky","Kentucky","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","nyc","New York City - New York State","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","md_c","Maryland (Provider Connect)","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","nc","North Carolina","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","mt","Montana","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","wa","Washington","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","co","Colorado","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","de","Delaware","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","ar","Arkansas","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","nv","Nevada","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","la","Louisiana","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","dc","District of Columbia","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","ut","Utah","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","il","Illinois","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","ia","Iowa","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","id","Idaho","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","nd","North Dakota","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","ph","Pennsylvania - Philadelphia","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","oh","Ohio","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","tx","Texas","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","ak","Alaska","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","in","Indiana","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","mn","Minnesota","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","sd","South Dakota","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","ms","Mississippi","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","wi","Wisconsin","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","wy","Wyoming","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","ri","Rhode Island","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","or","Oregon","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","ct","Connecticut","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","ok","Oklahoma","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","wv","West Virginia","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","ga","Georgia","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","me","Maine","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","ne","Nebraska","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","va","Virginia","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","tn","Tennessee","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","nj","New Jersey","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","mo","Missouri","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","pr","Puerto Rico","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","ks","Kansas","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","vt","Vermont","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","ma","Massachusetts","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","pa","Pennsylvania","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","vi","Virgin Islands U.S.","PROVIDER","production|onboarding",""
"eHealth Exchange","eHealth Exchange","nv","Nevada","PUBLIC_HEALTH","onboarding","eHealth Exchange QHIN pilot - onboarding only"
"DOD","Department of Defense (DOD)","il","Illinois","PROVIDER","production|onboarding","Parent-state mapping: DOD sends to Chicago which routes through Illinois IIS"
"VHA","Veterans Administration (VistA)","ny_qbp","New York State (QBP)","PROVIDER","onboarding","ny_qbp onboarding-only; mirrors ny_vxu access"
